type,price,timestamp,entry_price,pnl,entry_timestamp,exit_reason,bars_held
OPEN_SHORT,3729.47,720,3729.47,0.0,,,
CLOSE_SHORT,3718.69,725,3729.47,10.779999999999745,720.0,prediction_reversal_bullish,5.0
OPEN_SHORT,3728.43,733,3728.43,0.0,,,
CLOSE_SHORT,3724.36,738,3728.43,4.069999999999709,733.0,prediction_reversal_bullish,5.0
OPEN_SHORT,3736.84,746,3736.84,0.0,,,
CLOSE_SHORT,3750.4,754,3736.84,-13.559999999999945,746.0,prediction_reversal_bullish,8.0
OPEN_LONG,3747.05,755,3747.05,0.0,,,
CLOSE_LONG,3756.48,759,3747.05,9.429999999999836,755.0,prediction_reversal_bearish,4.0
OPEN_LONG,3746.35,762,3746.35,0.0,,,
CLOSE_LONG,3754.67,765,3746.35,8.320000000000164,762.0,prediction_reversal_bearish,3.0
OPEN_SHORT,3754.59,766,3754.59,0.0,,,
CLOSE_SHORT,3749.85,771,3754.59,4.7400000000002365,766.0,prediction_reversal_bullish,5.0
OPEN_LONG,3736.96,775,3736.96,0.0,,,
CLOSE_LONG,3735.83,784,3736.96,-1.1300000000001091,775.0,prediction_reversal_bearish,9.0
OPEN_LONG,3725.8,786,3725.8,0.0,,,
CLOSE_LONG,3736.74,791,3725.8,10.9399999999996,786.0,prediction_reversal_bearish,5.0
OPEN_SHORT,3735.34,792,3735.34,0.0,,,
CLOSE_SHORT,3735.61,805,3735.34,-0.2699999999999818,792.0,prediction_reversal_bullish,13.0
OPEN_SHORT,3742.94,813,3742.94,0.0,,,
CLOSE_SHORT,3741.61,824,3742.94,1.3299999999999272,813.0,prediction_reversal_bullish,11.0
OPEN_SHORT,3749.69,829,3749.69,0.0,,,
CLOSE_SHORT,3748.16,845,3749.69,1.5300000000002,829.0,prediction_reversal_bullish,16.0
OPEN_LONG,3742.0,849,3742.0,0.0,,,
CLOSE_LONG,3744.01,854,3742.0,2.0100000000002183,849.0,prediction_reversal_bearish,5.0
OPEN_SHORT,3743.3,867,3743.3,0.0,,,
CLOSE_SHORT,3740.01,890,3743.3,3.2899999999999636,867.0,prediction_reversal_bullish,23.0
OPEN_LONG,3737.0,891,3737.0,0.0,,,
CLOSE_LONG,3744.51,896,3737.0,7.510000000000218,891.0,prediction_reversal_bearish,5.0
OPEN_SHORT,3746.43,897,3746.43,0.0,,,
CLOSE_SHORT,3749.74,906,3746.43,-3.3099999999999454,897.0,prediction_reversal_bullish,9.0
OPEN_LONG,3744.03,923,3744.03,0.0,,,
CLOSE_LONG,3750.54,930,3744.03,6.5099999999997635,923.0,prediction_reversal_bearish,7.0
OPEN_SHORT,3767.8,939,3767.8,0.0,,,
CLOSE_SHORT,3758.76,944,3767.8,9.039999999999964,939.0,prediction_reversal_bullish,5.0
OPEN_LONG,3752.74,946,3752.74,0.0,,,
CLOSE_LONG,3760.98,951,3752.74,8.240000000000236,946.0,prediction_reversal_bearish,5.0
OPEN_LONG,3756.03,955,3756.03,0.0,,,
CLOSE_LONG,3755.03,966,3756.03,-1.0,955.0,prediction_reversal_bearish,11.0
OPEN_SHORT,3754.11,967,3754.11,0.0,,,
CLOSE_SHORT,3767.4,977,3754.11,-13.289999999999964,967.0,prediction_reversal_bullish,10.0
OPEN_SHORT,3781.09,988,3781.09,0.0,,,
CLOSE_SHORT,3777.5,1004,3781.09,3.5900000000001455,988.0,prediction_reversal_bullish,16.0
OPEN_LONG,3780.04,1005,3780.04,0.0,,,
CLOSE_LONG,3776.18,1014,3780.04,-3.8600000000001273,1005.0,prediction_reversal_bearish,9.0
OPEN_LONG,3773.75,1017,3773.75,0.0,,,
CLOSE_LONG,3771.68,1024,3773.75,-2.0700000000001637,1017.0,prediction_reversal_bearish,7.0
OPEN_SHORT,3777.23,1025,3777.23,0.0,,,
CLOSE_SHORT,3810.72,1054,3777.23,-33.48999999999978,1025.0,prediction_reversal_bullish,29.0
OPEN_LONG,3791.15,1059,3791.15,0.0,,,
CLOSE_LONG,3785.69,1066,3791.15,-5.460000000000036,1059.0,prediction_reversal_bearish,7.0
OPEN_LONG,3771.0,1069,3771.0,0.0,,,
CLOSE_LONG,3776.02,1076,3771.0,5.019999999999982,1069.0,prediction_reversal_bearish,7.0
OPEN_SHORT,3781.21,1077,3781.21,0.0,,,
CLOSE_SHORT,3776.21,1084,3781.21,5.0,1077.0,prediction_reversal_bullish,7.0
OPEN_LONG,3771.1,1085,3771.1,0.0,,,
CLOSE_LONG,3774.87,1090,3771.1,3.769999999999982,1085.0,prediction_reversal_bearish,5.0
OPEN_SHORT,3775.84,1091,3775.84,0.0,,,
CLOSE_SHORT,3774.01,1097,3775.84,1.8299999999999272,1091.0,prediction_reversal_bullish,6.0
OPEN_LONG,3751.87,1099,3751.87,0.0,,,
CLOSE_LONG,3746.0,1120,3751.87,-5.869999999999891,1099.0,prediction_reversal_bearish,21.0
OPEN_SHORT,3749.55,1121,3749.55,0.0,,,
CLOSE_SHORT,3749.2,1129,3749.55,0.3500000000003638,1121.0,prediction_reversal_bullish,8.0
OPEN_LONG,3749.2,1130,3749.2,0.0,,,
CLOSE_LONG,3741.79,1141,3749.2,-7.4099999999998545,1130.0,prediction_reversal_bearish,11.0
OPEN_SHORT,3746.41,1143,3746.41,0.0,,,
CLOSE_SHORT,3743.4,1149,3746.41,3.0099999999997635,1143.0,prediction_reversal_bullish,6.0
OPEN_LONG,3744.12,1151,3744.12,0.0,,,
CLOSE_LONG,3750.22,1154,3744.12,6.099999999999909,1151.0,prediction_reversal_bearish,3.0
OPEN_SHORT,3755.0,1165,3755.0,0.0,,,
CLOSE_SHORT,3751.24,1170,3755.0,3.7600000000002183,1165.0,prediction_reversal_bullish,5.0
OPEN_LONG,3745.8,1179,3745.8,0.0,,,
CLOSE_LONG,3750.64,1184,3745.8,4.839999999999691,1179.0,prediction_reversal_bearish,5.0
OPEN_SHORT,3755.34,1190,3755.34,0.0,,,
CLOSE_SHORT,3759.2,1210,3755.34,-3.8599999999996726,1190.0,prediction_reversal_bullish,20.0
OPEN_SHORT,3771.25,1212,3771.25,0.0,,,
CLOSE_SHORT,3766.93,1218,3771.25,4.320000000000164,1212.0,prediction_reversal_bullish,6.0
OPEN_LONG,3749.38,1238,3749.38,0.0,,,
CLOSE_LONG,3732.59,1247,3749.38,-16.789999999999964,1238.0,prediction_reversal_bearish,9.0
OPEN_SHORT,3732.61,1248,3732.61,0.0,,,
CLOSE_SHORT,3730.62,1260,3732.61,1.9900000000002365,1248.0,prediction_reversal_bullish,12.0
OPEN_SHORT,3742.03,1264,3742.03,0.0,,,
CLOSE_SHORT,3743.99,1295,3742.03,-1.9599999999995816,1264.0,prediction_reversal_bullish,31.0
