entry_time,entry_price,exit_time,exit_price,direction,size,stop_level,exit_reason,raw_pnl,fees,net_pnl,symbol,day,prev_close,prev_atr,upper_level,lower_level,isFiltered,position_size,portfolio_pnl,equity,drawdown
2023-06-02 04:24:00+00:00,1885.4758,2023-06-02 13:00:00+00:00,1889.29,long,1.0,1872.6033,end_of_day,3.814200000000028,5.6621487,-1.8479486999999724,ETHUSDT,2023-06-01,1863.85,51.49000000000001,1885.4758,1842.2242,False,1.5536997475237977,-2.871157428626887,997.1288425713731,0.0
2023-06-03 19:51:00+00:00,1883.0158,2023-06-04 06:42:00+00:00,1894.9349666666665,short,1.0,1894.9349666666665,stop_loss,-11.91916666666657,5.666926150000002,-17.58609281666657,ETHUSDT,2023-06-03,1903.04,47.676666666666655,1923.0642,1883.0158,False,1.673151941670499,-29.424205342603287,967.7046372287698,-2.9508930126546944
2023-06-04 23:30:00+00:00,1885.9215,2023-06-05 13:00:00+00:00,1864.38,short,1.0,1896.52775,end_of_day,21.54149999999981,5.62545225,15.916047749999814,ETHUSDT,2023-06-04,1903.74,42.42500000000001,1921.5585,1885.9215,False,1.8247818733836476,29.04331543010825,996.747952658878,-0.038198665632096805
2023-06-05 15:26:00+00:00,1845.85648,2023-06-06 13:00:00+00:00,1805.25,short,1.0,1856.99548,end_of_day,40.60647999999992,5.476659720000001,35.12982027999992,ETHUSDT,2023-06-05,1864.57,44.556,1883.28352,1845.85648,False,1.7896542825367932,62.87023330884974,1059.6181859677279,0.0
2023-06-06 14:02:00+00:00,1827.0578,2023-06-07 13:00:00+00:00,1863.43,long,1.0,1813.8269666666663,end_of_day,36.37220000000025,5.5357317,30.83646830000025,ETHUSDT,2023-06-06,1804.83,52.923333333333325,1827.0578,1782.6022,False,1.6017406602774245,49.392025095466266,1109.010211063194,0.0
2023-06-07 14:38:00+00:00,1838.9622,2023-06-08 12:38:00+00:00,1853.8954142857144,short,1.0,1853.8954142857144,stop_loss,-14.933214285714255,5.539286421428571,-20.472500707142828,ETHUSDT,2023-06-07,1864.05,59.73285714285713,1889.1378,1838.9622,False,1.485293373341737,-30.407669636053267,1078.6025414271407,-2.7418746313347104
2023-06-09 20:08:00+00:00,1827.8614,2023-06-10 01:10:00+00:00,1841.8189,short,1.0,1841.8189,stop_loss,-13.957499999999982,5.504520450000001,-19.462020449999983,ETHUSDT,2023-06-09,1851.31,55.830000000000005,1874.7586,1827.8614,False,1.5455526296645423,-30.079576885082574,1048.5229645420582,-5.454164976817253
2023-06-10 17:40:00+00:00,1765.93532,2023-06-10 17:53:00+00:00,1749.8488200000002,long,1.0,1749.8488200000002,stop_loss,-16.086499999999887,5.273676210000001,-21.36017620999989,ETHUSDT,2023-06-10,1738.91,64.346,1765.93532,1711.88468,False,1.3036060852790425,-27.84525568998849,1020.6777088520697,-7.96498547352788
2023-06-11 20:10:00+00:00,1772.0827454545456,2023-06-11 22:37:00+00:00,1756.2120636363638,long,1.0,1756.2120636363638,stop_loss,-15.870681818181763,5.292442213636363,-21.16312403181813,ETHUSDT,2023-06-11,1745.42,63.48272727272727,1772.0827454545456,1718.7572545454543,False,1.2862430493474597,-27.220921188404255,993.4567876636655,-10.419509419011469
2023-06-12 17:23:00+00:00,1719.08965,2023-06-12 17:43:00+00:00,1734.8815249999998,short,1.0,1734.8815249999998,stop_loss,-15.79187499999989,5.180956762499999,-20.97283176249989,ETHUSDT,2023-06-12,1745.62,63.1675,1772.15035,1719.08965,False,1.2581872483966248,-26.387749486345072,967.0690381773204,-12.798905859468723
2023-06-14 18:08:00+00:00,1719.9135,2023-06-14 18:10:00+00:00,1734.7804642857143,short,1.0,1734.7804642857143,stop_loss,-14.866964285714175,5.182040946428572,-20.049005232142747,ETHUSDT,2023-06-14,1744.89,59.46785714285714,1769.8665,1719.9135,False,1.3009636931819195,-26.083027891432057,940.9860102858884,-15.150825402790744
2023-06-15 18:57:00+00:00,1667.0364,2023-06-16 13:00:00+00:00,1667.0,long,1.0,1650.9314,end_of_day,-0.0363999999999578,5.0010546,-5.037454599999958,ETHUSDT,2023-06-15,1639.98,64.41999999999999,1667.0364,1612.9236,False,1.1685638128356255,-5.886587154362311,935.099423131526,-15.681621881997094
2023-06-16 17:05:00+00:00,1693.2823,2023-06-17 13:00:00+00:00,1738.79,long,1.0,1677.3464071428573,end_of_day,45.507699999999886,5.148108450000002,40.35959154999989,ETHUSDT,2023-06-16,1666.51,63.74357142857142,1693.2823,1639.7377,False,1.1735764434590759,47.365065910709845,982.4644890422359,-11.410690429950176
2023-06-19 16:34:00+00:00,1701.2163,2023-06-19 16:39:00+00:00,1718.4446928571429,short,1.0,1718.4446928571429,stop_loss,-17.228392857142808,5.129491489285716,-22.357884346428524,ETHUSDT,2023-06-19,1730.16,68.91357142857143,1759.1037,1701.2163,False,1.1405178616354934,-25.49956644548233,956.9649225967536,-13.70999896571525
2023-06-20 17:46:00+00:00,1758.6689,2023-06-21 13:00:00+00:00,1813.91,long,1.0,1742.0862214285714,end_of_day,55.24110000000019,5.358868350000002,49.882231650000186,ETHUSDT,2023-06-20,1730.81,66.33071428571428,1758.6689,1702.9511,False,1.154174120272198,57.57278083185296,1014.5377034286065,-8.518632803571565
2023-06-21 14:25:00+00:00,1843.6111,2023-06-22 13:00:00+00:00,1896.73,long,1.0,1826.5866357142856,end_of_day,53.11889999999994,5.610511649999999,47.50838834999994,ETHUSDT,2023-06-21,1815.01,68.09785714285714,1843.6111,1786.4089,False,1.1918585940820772,56.623280945936266,1071.1609843745427,-3.4128835164074522
2023-06-22 14:41:00+00:00,1865.9017,2023-06-22 16:28:00+00:00,1884.18045,short,1.0,1884.18045,stop_loss,-18.278749999999945,5.625123224999999,-23.903873224999945,ETHUSDT,2023-06-22,1896.61,73.11499999999998,1927.3183,1865.9017,False,1.1720287047796298,-28.016025575113158,1043.1449587994296,-5.939102418238354
2023-06-23 15:23:00+00:00,1903.7715,2023-06-23 15:28:00+00:00,1885.2706071428568,long,1.0,1885.2706071428568,stop_loss,-18.500892857142844,5.683563160714286,-24.18445601785713,ETHUSDT,2023-06-23,1872.69,74.00357142857139,1903.7715,1841.6085,False,1.1276698555623121,-27.27208202451004,1015.8728767749196,-8.398239561652437
